province,year,Cropland multiple-cropping index,Water consumption per unit agricultural output value,Electricity consumption per unit agricultural output value,Agricultural machinery power per sown area,Irrigation-area share,Chemical fertilizer application intensity,Plastic film application intensity,Diesel application intensity,Pesticide application intensity,Forest coverage rate,Flood-prevention area,Erosion-control area,Total output value of agriculture / forestry / animal husbandry / fishery,Grain yield per unit area,Rural per-capita disposable income,G_entropy,G_equal
Jiangsu,2022,0.5183735049898334,0.5693767859081353,0.7067539254659616,0.3566841322989643,0.9284181063770114,0.01,0.7970564642983236,0.8410549680413557,0.457239666592196,0.0346179966044142,1.01,0.0906494521390685,0.8925407091369976,1.01,0.577957975152463,0.6243831204230249,0.5867149124669816
Jiangsu,2021,0.499315653718529,0.586442714059409,0.6029499521856511,0.407096531178019,0.930923132151701,0.01,0.7894369567928,0.841801502733782,0.465219277353306,0.0346179966044143,1.01,0.0934565024604844,0.888916878785219,1.01,0.552954107993111,0.6213888918397654,0.581542080401095
Jiangsu,2020,0.485411000352335,0.485170756859588,0.54674424304663,0.414663289235585,0.920134567017817,0.01,0.78588573558039,0.847006166049286,0.486369727141355,0.0346179966044143,1.01,0.0966273030452135,0.868581563458138,1.01,0.549610640766685,0.6144219488700758,0.5700548659438291
Jiangsu,2019,0.449373694174859,0.400106799295623,0.947898615997057,0.471488581478234,0.833188734879138,0.01,0.7849349855865531,0.848090101425512,0.5023355163719669,0.0346179966044143,1.01,0.0998734661110899,0.959227431126307,1.01,0.541180227194738,0.6201239454432156,0.5934877433496996
Jiangsu,2018,0.170828062516766,0.435504174942726,0.942364243079426,0.5202453512589,1.01,0.01,0.770772575690559,0.768545985601202,0.442643737899714,0.0346179966044143,1.01,0.1033766989901424,1.009551114972488,1.01,0.548710270783112,0.6204773919600214,0.5858106808226299
Jiangsu,2017,0.361567226451785,0.419186498177603,0.940491390129798,0.59354450506922,0.88675934524161,0.01,0.813401137281456,0.795709176549551,0.498187124993535,0.112699411406535,1.01,0.1071555461562863,1.01,1.01,0.552780875611287,0.6341982190880341,0.6080988158045777
Jiangsu,2016,0.341035331675618,0.364334614179073,0.940703543074602,0.630931263184451,0.866464700336612,0.01,0.835361263540162,0.79783568239415,0.502487763050423,0.112699411406535,1.01,0.111099072414062,1.01,1.01,0.55591195690214,0.6321896969800876,0.6065909734771885
Jiangsu,2015,0.337033919804849,0.374166673299932,0.93069395547051,0.673088501277377,0.841365622731926,0.01,0.845148174026918,0.797444360487913,0.497839298696326,0.112699411406535,1.01,0.1150256747705719,1.01,1.01,0.57073029339436,0.6335727575370527,0.6090157256911478
Jiangsu,2014,0.460905764216249,0.342485213008305,0.9140700393268372,0.634654569797771,0.842428516431312,0.01,0.841854296713359,0.797158036798212,0.490129774445946,0.112699411406535,1.01,0.1202681635454459,1.01,1.01,0.580728079116278,0.6372617656537215,0.61182545765375
Jiangsu,2013,0.44571294971346,0.378410808944291,0.9095692653801252,0.652671982302255,0.81262033669832,0.01,0.847954917263131,0.796773345127363,0.508333608356909,0.112699411406535,1.01,0.1082790261931957,1.01,1.01,0.582727272727273,0.637121764566523,0.6130501949408571
