province,year,Total agricultural machinery power (10^4 kW) (China Rural Statistical Yearbook),Total agricultural output value (10^8 yuan) (China Rural Statistical Yearbook),Agricultural mechanization service organizations at year-end (units) (China Agricultural Machinery Industry Yearbook),Agricultural machinery households at year-end (units) (China Agricultural Machinery Industry Yearbook),Cultivated land area per agricultural laborer (10^3 ha/10^4 persons),Machine-ploughing rate (%),Machine-sowing rate (%),Machine-harvesting rate (%),Mechanized irrigation rate (%),Mechanized plant-protection rate (%),Agricultural machinery power per sown area (10^4 kW/10^3 ha),Agricultural output value per agricultural laborer (10^8 yuan/10^4 persons),Agricultural output value per unit cultivated area (10^8 yuan/10^3 ha),Operation income of agricultural machinery per 10^4 kW (10^8 yuan/10^4 kW),Agricultural carbon emissions,M_entropy,M_equal
Jiangsu,2022,0.750885808978608,0.8532753991516064,0.7309719409892971,0.3469107302600671,0.7499432752936661,0.9108952450465426,1.01,0.9408705279332132,1.01,0.8829907881363065,0.6633158677010357,0.7957387140327754,1.01,0.5551596839324433,0.01,0.7446219314078909,0.7480638654303707
Jiangsu,2021,0.7496358625542394,0.8758334242338861,0.7371922054915855,0.3418527736979858,0.8147016521774595,0.9118330482745745,1.01,0.9409951659254456,1.01,0.8341139563395207,0.6129034688219808,0.7822817360366302,1.01,0.5591156258326092,0.01,0.7416956405902743,0.7466972612923944
Jiangsu,2020,0.7732364798279929,0.8785992140535605,0.7742502365184485,0.3389219564587684,0.8121847435489401,1.01,1.01,0.8680081942508119,1.01,0.8030051756345237,0.6053367107644153,0.7105186953127767,1.01,0.5279511207610355,0.01,0.734273519273445,0.7428008351420847
Jiangsu,2019,0.77520412056467,0.8767043206453001,0.7479113698467388,0.3425343656996059,0.9322936389010076,0.657902153676586,0.9232138359760232,0.7922046026301504,1.01,0.716757146602529,0.5485114185217661,0.8091974707439278,1.01,0.4342457144542974,0.01,0.7063699336493368,0.7057786772175068
Jiangsu,2018,0.7733880120313807,0.905419103286962,0.7266851344258471,0.3503887157266073,1.01,0.7159088987464489,0.9379995504940358,0.8069623078670616,0.7495631063107823,0.7416978831798924,0.4997546487411005,0.9618366750332032,1.01,0.3382358244462868,0.01,0.7045916943565219,0.7025226573526405
Jiangsu,2017,0.7965484324271939,0.9479179952808108,0.6681196581196581,0.3594393256218332,1.01,0.6265200485379622,0.9824430026169564,0.875931611201275,0.7278029868911822,0.7817501249234234,0.4264554949307803,1.01,1.01,0.4423060259330372,0.01,0.7123291151272061,0.7116823137656074
Jiangsu,2016,0.7192895688786101,1.01,0.6051299589603283,0.3620044913852401,1.01,0.6655439401554821,1.01,0.9098859446107112,0.7793418100438817,0.8069268638875217,0.3890687368155488,1.01,1.01,0.4449403557617823,0.01,0.7142241263326399,0.7161421113666069
Jiangsu,2015,0.7383348808418446,1.01,0.5805497455399586,0.367619499647855,1.01,0.7360829462914357,1.01,1.0058189804840327,0.8617940681002216,0.7934468487969522,0.3469114987226234,1.01,1.01,0.2789932081425099,0.0231527621521437,0.7146705545375973,0.7188469625813051
Jiangsu,2014,0.7353841229193342,1.01,0.556045197740113,0.3580210292484265,1.01,0.7027557143189914,1.01,0.980886798154855,0.9980241171501834,0.7589838443159279,0.3853454302022285,0.9902228897390396,1.01,0.2268218295526788,0.0111008568646589,0.7135664822724234,0.7162394553470957
Jiangsu,2013,0.7221833054039256,1.01,0.4689114194236926,0.380041394374826,1.01,0.7195312937686889,1.01,0.9972471347513114,1.01,0.822212111595761,0.3673280176977448,1.01,0.5880040918996655,0.3384621220207184,0.01,0.686463018542981,0.6975947260624223
